Formula,d2occu,Slog,S,Sclass,Ea,a,c,a/c,h,d,Vcalc,,D1eneff,D2eneff,D3eneff,D1vol,D2vol,D3vol,,Pestimrad,Siestimrad,Pvolpermolecule,Sivolpermolecule,D1volperatom,D2volperatom,D3volperatom,D1ionicr,D2ionicr,D3ionicr,D1eff,D2eff,D3eff,Ga,Sc,Y,Yb,Cr,Al,In,Co,Cu,Zn,Mg,Mo,Nb,Sn,Hf,Ge,Ti,Zr,SiO4,Na,PO4,Fe,D1eneg,D2eneg,D3eneg
NaZr2(PO4)3,1,-5.346787486,0.0000045,1,0.47,8.792,22.842,0.384905,12.43376564,26.00683549,1529.114891,,0.93,1.33,1.33,4.445173921,2.664302892,2.664302892,,7.85724,0,75.247,83.275,4.445173921,2.664302892,2.664302892,1.02,0.86,0.86,1.02,0.86,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0.93,1.33,1.33
NaGe2(PO4)3,1,-11.95860731,1.10E-12,0,0.81,8.146,21.504,0.378813244,11.52018368,24.39542269,1235.772978,,0.93,2.01,2.01,4.445173921,1.259832044,1.259832044,,7.85724,0,75.247,83.275,4.445173921,1.259832044,1.259832044,1.02,0.67,0.67,1.02,0.67,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0.93,2.01,2.01
NaTi2(PO4)3,1,-9.353596274,4.43E-10,0,0.62,8.457,21.972,0.384898962,11.9600041,25.01620439,1360.920899,,0.93,1.54,1.54,4.445173921,1.732036583,1.732036583,,7.85724,0,75.247,83.275,4.445173921,1.732036583,1.732036583,1.02,0.745,0.745,1.02,0.745,0.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0.93,1.54,1.54
NaHf2(PO4)3,1,-9.057000407,8.77E-10,0,0.65,8.755,22.746,0.38490284,12.38143974,25.89750115,1509.899243,,0.93,1.3,1.3,4.445173921,2.572438612,2.572438612,,7.85724,0,75.247,83.275,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,1.02,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0.93,1.3,1.3
NaSn2(PO4)3,1,-8.332547047,4.65E-09,0,0.47,8.5002,22.5413,0.377094489,12.02109812,25.54636972,1410.483075,,0.93,1.96,1.96,4.445173921,2.395093762,2.395093762,,7.85724,0,75.247,83.275,4.445173921,2.395093762,2.395093762,1.02,0.83,0.83,1.02,0.83,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0.93,1.96,1.96
NaGe0.5Ti1.5(PO4)3,0.5,-12.22841252,5.91E-13,0,0.798,8.403,21.673,0.387717436,11.88363656,24.71719537,1325.312792,,0.93,1.005,2.31,4.445173921,0.629916022,2.598054875,,7.85724,0,75.247,83.275,4.445173921,1.259832044,1.732036583,1.02,0.67,0.745,1.02,0.335,1.1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,0,0,1,3,0,0.93,2.01,1.54
NaGeTi(PO4)3,1,-11.07058107,8.50E-12,0,0.7,8.324,21.654,0.384409347,11.77191369,24.64698091,1299.370215,,0.93,2.01,1.54,4.445173921,1.259832044,1.732036583,,7.85724,0,75.247,83.275,4.445173921,1.259832044,1.732036583,1.02,0.67,0.745,1.02,0.67,0.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0.93,2.01,1.54
NaGe1.5Ti0.5(PO4)3,1.5,-10.50445566,3.13E-11,0,0.71,8.1742,21.559,0.379154877,11.5600645,24.46273845,1247.526453,,0.93,3.015,0.77,4.445173921,1.889748066,0.866018292,,7.85724,0,75.247,83.275,4.445173921,1.259832044,1.732036583,1.02,0.67,0.745,1.02,1.005,0.3725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,0,0,1,3,0,0.93,2.01,1.54
NaSn0.5Ti1.5(PO4)3,0.5,-10.75202673,1.77E-11,0,0.637,8.513,22.365,0.380639392,12.03920006,25.39951895,1403.669299,,0.93,2.94,2.31,4.445173921,1.197546881,2.598054875,,7.85724,0,75.247,83.275,4.445173921,2.395093762,1.732036583,1.02,0.83,0.745,1.02,0.415,1.1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.5,0,0,1,3,0,0.93,1.96,1.54
NaSnTi(PO4)3,1,-10.16367588,6.86E-11,0,0.62,8.537,22.084,0.386569462,12.07314118,25.16870664,1393.859287,,0.93,1.96,1.54,4.445173921,2.395093762,1.732036583,,7.85724,0,75.247,83.275,4.445173921,2.395093762,1.732036583,1.02,0.83,0.745,1.02,0.83,0.745,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0.93,1.96,1.54
NaSn1.5Ti0.5(PO4)3,1.5,-9.289036881,5.14E-10,0,0.54,8.523,22.235,0.383314594,12.05334219,25.29186199,1398.79072,,0.93,2.94,0.77,4.445173921,3.592640643,0.866018292,,7.85724,0,75.247,83.275,4.445173921,2.395093762,1.732036583,1.02,0.83,0.745,1.02,1.245,0.3725,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0.5,0,0,1,3,0,0.93,1.96,1.54
